iter	Passed	Remaining
0	207	207470
1	270	135137
2	328	109015
3	381	95014
4	433	86238
5	484	80342
6	539	76473
7	599	74387
8	664	73135
9	729	72229
10	790	71060
11	848	69898
12	915	69494
13	990	69736
14	1060	69622
15	1178	72447
16	1305	75463
17	1428	77911
18	1521	78568
19	1613	79080
20	1744	81309
21	1832	81450
22	1900	80733
23	1965	79915
24	2024	78971
25	2084	78078
26	2146	77342
27	2228	77368
28	2362	79101
29	2477	80097
30	2582	80731
31	2721	82332
32	2813	82438
33	2942	83596
34	3023	83367
35	3113	83374
36	3211	83578
37	3281	83082
38	3356	82696
39	3428	82273
40	3528	82533
41	3605	82248
42	3676	81820
43	3739	81238
44	3798	80615
45	3852	79898
46	3918	79451
47	3998	79308
48	4099	79565
49	4202	79850
50	4304	80091
51	4396	80156
52	4490	80239
53	4609	80758
54	4713	80982
55	4779	80569
56	4842	80118
57	4904	79655
58	4964	79186
59	5028	78786
60	5120	78815
61	5243	79326
62	5362	79762
63	5472	80037
64	5577	80230
65	5686	80466
66	5800	80771
67	5923	81188
68	6003	81000
69	6086	80859
70	6151	80488
71	6218	80149
72	6307	80099
73	6390	79969
74	6477	79887
75	6565	79820
76	6663	79879
77	6751	79801
78	6820	79519
79	6901	79368
80	6990	79306
81	7075	79214
82	7164	79149
83	7240	78956
84	7314	78737
85	7387	78512
86	7453	78219
87	7517	77913
88	7591	77704
89	7657	77428
90	7732	77235
91	7814	77128
92	7946	77496
93	8007	77180
94	8066	76846
95	8116	76435
96	8176	76120
97	8230	75757
98	8310	75636
99	8402	75625
100	8518	75819
101	8618	75872
102	8696	75732
103	8769	75555
104	8849	75432
105	8915	75192
106	8984	74985
107	9058	74818
108	9120	74554
109	9184	74308
110	9226	73894
111	9275	73543
112	9337	73292
113	9403	73082
114	9469	72870
115	9545	72746
116	9609	72522
117	9671	72288
118	9732	72055
119	9792	71813
120	9850	71558
121	9909	71315
122	9968	71074
123	10028	70847
124	10093	70656
125	10152	70425
126	10208	70176
127	10266	69940
128	10326	69726
129	10393	69556
130	10452	69336
131	10514	69139
132	10579	68962
133	10639	68759
134	10701	68567
135	10759	68351
136	10819	68157
137	10880	67965
138	10937	67752
139	10992	67526
140	11055	67350
141	11120	67191
142	11184	67026
143	11244	66842
144	11299	66630
145	11356	66428
146	11419	66265
147	11482	66104
148	11553	65986
149	11615	65819
150	11678	65661
151	11780	65722
152	11839	65541
153	11895	65347
154	11952	65161
155	12022	65044
156	12082	64877
157	12145	64722
158	12200	64530
159	12254	64335
160	12290	64047
161	12341	63843
162	12385	63597
163	12432	63376
164	12485	63183
165	12547	63040
166	12605	62877
167	12663	62712
168	12724	62569
169	12782	62410
170	12843	62264
171	12906	62131
172	12970	62001
173	13038	61894
174	13094	61733
175	13161	61621
176	13221	61476
177	13284	61347
178	13333	61156
179	13393	61013
180	13449	60858
181	13509	60716
182	13568	60575
183	13630	60447
184	13688	60302
185	13746	60157
186	13805	60019
187	13848	59815
188	13912	59696
189	13971	59563
190	14030	59426
191	14087	59284
192	14153	59180
193	14279	59326
194	14390	59407
195	14503	59492
196	14607	59541
197	14695	59523
198	14779	59490
199	14926	59704
200	15009	59664
201	15079	59571
202	15161	59525
203	15237	59454
204	15304	59350
205	15370	59245
206	15434	59129
207	15503	59032
208	15570	58930
209	15632	58808
210	15700	58709
211	15765	58601
212	15824	58468
213	15881	58331
214	15942	58209
215	16003	58087
216	16082	58030
217	16185	58059
218	16279	58057
219	16384	58091
220	16496	58146
221	16608	58205
222	16701	58193
223	16776	58119
224	16848	58032
225	16934	57998
226	17050	58060
227	17127	57993
228	17199	57906
229	17257	57775
230	17319	57658
231	17384	57549
232	17455	57460
233	17589	57579
234	17703	57631
235	17819	57685
236	17930	57725
237	18060	57824
238	18170	57856
239	18248	57787
240	18330	57730
241	18397	57626
242	18466	57526
243	18534	57427
244	18616	57369
245	18680	57256
246	18757	57184
247	18855	57174
248	18943	57136
249	19028	57084
250	19094	56980
251	19164	56883
252	19233	56786
253	19300	56684
254	19362	56567
255	19426	56457
256	19487	56339
257	19547	56216
258	19602	56083
259	19663	55965
260	19728	55860
261	19784	55727
262	19837	55591
263	19894	55462
264	19946	55324
265	20003	55198
266	20065	55084
267	20129	54981
268	20191	54871
269	20238	54717
270	20299	54606
271	20348	54463
272	20407	54346
